datasetID	asv	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	otu
SBDI-ASV-191208	ASVBAC000326	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC000359	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae				
SBDI-ASV-191208	ASVBAC000374	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC000563	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000601	Bacteria								
SBDI-ASV-191208	ASVBAC000791	Bacteria								
SBDI-ASV-191208	ASVBAC000898	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000945	Bacteria								
SBDI-ASV-191208	ASVBAC000982	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC001156	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae				
SBDI-ASV-191208	ASVBAC001635	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae				
SBDI-ASV-191208	ASVBAC000185	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae				
SBDI-ASV-191208	ASVBAC000272	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae				
SBDI-ASV-191208	ASVBAC000388	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae				
SBDI-ASV-191208	ASVBAC000441	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae				
SBDI-ASV-191208	ASVBAC001029	Bacteria								
SBDI-ASV-191208	ASVBAC001059	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
